Sectors,Sub Sectors and Economic Activity,NIC Code,No. of R&D Units,Research & Development Expenditure in 2005-06,Research & Development Expenditure in 2006-07,Research & Development Expenditure in 2007-08,Research & Development Expenditure in 2008-09,Research & Development Expenditure in 2009-10,,,,,,,,
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","1. Agriculture, Hunting and Related Service Activities",1,140,191.24,210.25,258.51,341.3,423.28,,,,,,,,
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","2. Forestry, Logging and Related Service Activities",2,1,4.65,6.98,8.47,10.05,8.39,,,,,,,,
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","3. Fishing, Operation of Fish Hatcheries and Fish Farms",3,0,0,0,0,0,0,,,,,,,,
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","4. Mining of Coal and Lignite, Extraction of Peat",5,7,35.55,29.27,37.68,37.15,55.48,,,,,,,,
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",5. Extraction of Crude Petroleum and Natural Gas,6,4,137.43,138.19,416.78,443.07,480.32,,,,,,,,
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","6. Mining of Metal Ores, Other Mining and Quarrying",7,15,18.73,17.84,25.44,45.33,39.05,,,,,,,,
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Total R&D Expenditure(Rs Crore) (A),NA,167,387.61,402.54,746.87,876.89,1006.52,,,,,,,,
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",GDP by industry of origin (at factor cost Rs. crores),NA,NA,732234,829771,961330,1083032,1236765,,,,,,,,
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Ratio of R&D expenditure to GDP by industry of origin (%),NA,NA,5.00E-02,5.00E-02,8.00E-02,8.00E-02,8.00E-02,,,,,,,,
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",1. Manufacture of Food Products and Beverages,10,59,113.25,129.25,147.83,179.96,225.2,,,,,,,,
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",2. Manufacture of Tobacco Products,12,4,67.5,80.76,142.48,134.64,109.58,,,,,,,,
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",3. Manufacture of Textiles,13,28,19.97,22.19,24.64,20.97,23.08,,,,,,,,
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","4. Manufacture of Wearing Apparel, Dressing and Dyeing of Fur",14,2,20.21,21.16,25.24,26.46,30.46,,,,,,,,
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","5. Tanning and Dressing of Leather, Luggage Handbags etc.",15,3,21.54,21.33,20.26,20.57,22.14,,,,,,,,
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",6. Manufacture of Wood and Products of Wood and Cork,16,3,0.86,0.86,1.17,1.07,1.16,,,,,,,,
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",7. Manufacture of Paper and Paper Products,17,27,14.72,18.32,18.42,23.59,28.71,,,,,,,,
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","8. Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel",19,16,147.44,135.67,187.86,261.2,349.75,,,,,,,,
